num_layers;d_model;nhead;d_ff;dropout;label_smoothing;learning_rate;test_accuracy;num_params_M;model_size_MB
4;40;8;88;0.2061347472654194;0.1620607770125569;0.0007265623533538;59.58694775962373;0.07;0.29
5;528;2;48;0.178931066844712;0.1860272352556766;0.0002855662470485;67.64929327901939;6.11;23.29
2;248;8;264;0.0668978692157875;0.1687080075940963;0.0067146861553541;64.04080047625963;0.88;3.35
3;108;2;516;0.123321747018128;0.0013941930866565;0.0001969037591663;63.72012819296961;0.53;2.02
5;232;2;212;0.0909933593119103;0.1259667755460043;0.0016406182314995;69.35091843720456;1.69;6.45
5;130;1;886;0.0617406037743349;0.0259061717346113;0.0034678395569383;23.431656039487763;1.56;5.96
1;679;1;931;0.0883653791071289;0.0454519484204942;0.0059165307831645;38.89926271630989;3.44;13.12
2;16;8;576;0.2939900693730852;0.0853858537740058;0.0069039067973986;51.93392027318987;0.05;0.18
2;112;8;976;0.264309851460523;0.0464290977130149;0.0001751051438452;60.55334989523474;0.6;2.27
1;824;1;835;0.0093183269726374;0.104594619738571;0.0007101317609197;61.79242233737675;4.49;17.14
1;392;8;416;0.1125595102906773;0.0981036306924611;0.0021933645948177;62.71899570566147;1.13;4.32
1;424;8;648;0.0147066565698175;0.1310991666416849;0.0001279426040539;64.09555866410211;1.48;5.63
1;668;2;556;0.0664916027100486;0.1314986833904916;0.0007638809577516;61.559340001066914;2.85;10.89
4;389;1;437;0.1272066242018216;0.1874628193380634;0.0008184686741175;68.81864106709422;3.98;15.19
4;288;8;304;0.1044879293353249;0.062628031146401;0.0023613919645021;69.59740205855593;2.18;8.3
4;272;1;842;0.2996926236882012;0.1635242799423181;0.0001779384128154;64.15043725049715;3.16;12.05
1;832;2;160;0.0526023821330161;0.1271849997372073;0.0095019001833672;40.11317186096894;3.44;13.13
2;645;1;509;0.1637456561354666;0.0788232418431626;0.0011861223551661;61.79530727192439;4.96;18.93
5;448;8;112;0.0626116693182603;0.0688960451414685;0.0012825949794471;70.02229781193228;4.75;18.12
4;230;2;204;0.2435261084976001;0.1462056571142898;0.0056434856374641;23.431656039487763;1.34;5.12
3;259;1;318;0.0543162347504647;0.0105909948616959;0.0026113972898477;67.25770161756381;1.43;5.46
1;618;2;930;0.199608461881623;0.0500634851219304;0.0013376043673578;60.24116107918594;2.98;11.37
3;384;4;1008;0.1512240328440008;0.1080148639723469;0.0004241255900206;69.60013417955611;4.29;16.36
4;250;2;502;0.2253259164262345;0.1583820684139859;0.0017420245572818;68.04167216178008;2.13;8.14
3;288;1;485;0.0558002018222288;0.0356804418449133;0.0006919693781108;68.32191368498108;1.98;7.56
1;616;8;464;0.1696526258349318;0.0511280135911737;0.0010360112998942;62.06770899706894;2.39;9.12
1;760;4;708;0.228441601293129;0.0135962281076673;0.0017531155470405;56.90403272173339;3.76;14.33
1;680;4;496;0.2975845026462382;0.0965534604526427;0.0044661650239383;51.21829906111356;2.86;10.89
5;10;1;987;0.0216710896458371;0.0212459310017892;0.0003917841495528;53.170302270753744;0.11;0.42
